team,games_played,possessions,frequency,points_per_poss,points,fg_made,fg_att,fg_perc,eff_fg_perc,ft_freq,tov_freq,sf_freq,and1_freq,score_freq,percentile,season,playtype,offdef
PHX,65,10.2,9,1.26,12.8,5.2,8.4,61.4,61.4,16.6,5.6,15.7,4.8,62.3,41.4,2019,cut,offense
LAL,63,8.9,7.9,1.37,12.2,5.4,7.5,72.5,72.5,13,6.4,12.7,3.8,69.5,100,2019,cut,offense
WAS,64,9.1,7.9,1.25,11.3,4.6,7.3,62.4,62.4,18.1,5.7,17.7,4.5,63.3,24.1,2019,cut,offense
GSW,65,8.8,7.8,1.25,11,4.6,7.3,63.4,63.4,15.4,6,15.2,4.7,62.7,34.5,2019,cut,offense
ORL,65,8.6,7.8,1.28,11,4.6,7.2,63.7,63.7,15.4,4.1,14.7,3.9,64.5,55.2,2019,cut,offense
CLE,65,8.3,7.4,1.25,10.4,4.5,7,64.8,64.8,14.6,5,13.9,3.9,63,31,2019,cut,offense
IND,65,8.2,7.5,1.27,10.4,4.4,6.8,65.6,65.6,15.7,5.8,15.7,4.5,65.1,48.3,2019,cut,offense
BKN,64,7.8,6.7,1.33,10.3,4.4,6.4,69.5,69.5,16.9,6.5,16.5,5.4,66.9,86.2,2019,cut,offense
MIL,65,7.6,6.5,1.31,9.9,4.1,6.1,67.9,67.9,15.7,7.7,14.7,4.1,66,72.4,2019,cut,offense
PHI,65,7.6,6.8,1.31,9.9,4.1,6.1,68,68,16.5,8.1,16.3,4.9,65.9,65.5,2019,cut,offense
NOP,64,7.4,6.3,1.33,9.9,4.2,6,70.2,70.2,16.6,6.1,15.5,3.8,67.9,79.3,2019,cut,offense
MIN,64,7.5,6.4,1.33,9.9,4,6,67.8,67.8,20.5,6.5,20.1,7.1,66.5,75.9,2019,cut,offense
TOR,64,8.1,7.2,1.22,9.8,4.2,6.7,62.5,62.5,14.1,7.2,13.4,4.1,61.4,3.4,2019,cut,offense
SAC,64,7.6,6.9,1.28,9.7,4.3,6.4,66,66,11.3,6.2,11.1,2.3,64.8,51.7,2019,cut,offense
CHA,65,7.7,7,1.23,9.4,4.1,6.4,63.5,63.5,14.6,4.8,14.2,3,63.5,20.7,2019,cut,offense
DET,66,7.9,7.2,1.14,9,3.7,6.3,59.3,59.3,17.1,7.7,16.7,4.4,57.8,0,2019,cut,offense
ATL,67,7.1,6.1,1.22,8.7,3.7,5.8,65,65,13.4,7.9,13,2.1,63.2,13.8,2019,cut,offense
MEM,65,6.8,5.9,1.28,8.7,3.8,5.7,65.7,65.7,13.3,6.1,13.1,3.6,64.3,58.6,2019,cut,offense
BOS,64,7,6.2,1.25,8.8,3.7,5.7,64,64,16.5,5.8,15.8,4,63.9,27.6,2019,cut,offense
CHI,65,7,6.3,1.23,8.6,3.6,5.6,63.3,63.3,15.8,7.7,15.4,3.5,62.5,17.2,2019,cut,offense
HOU,64,7.1,6.1,1.22,8.6,3.7,5.7,66,66,12.8,9.5,12.6,2.4,62.6,6.9,2019,cut,offense
NYK,66,6.3,5.5,1.33,8.3,3.6,5.1,70.5,70.5,14,8.7,13.6,4.8,65.9,82.8,2019,cut,offense
